,values
783,726.0
784,733.0
785,730.0
786,733.0
787,742.0
788,724.0
789,706.0
790,719.0
791,733.0
792,731.0
793,725.0
794,722.0
795,712.0
796,713.0
797,720.0
798,749.0
799,745.0
800,751.0
801,730.0
802,724.0
803,714.0
804,709.0
805,725.0
806,771.0
807,760.0
808,722.0
809,727.0
810,672.0
811,675.0
812,702.0
813,706.0
814,706.0
815,716.0
816,732.0
817,745.0
818,714.0
819,722.0
820,753.0
821,791.0
822,781.0
823,795.0
824,791.0
825,754.0
826,772.0
827,772.0
828,759.0
829,748.0
830,745.0
831,751.0
832,753.0
833,751.0
834,770.0
835,776.0
836,768.0
837,752.0
838,709.0
839,702.0
840,714.0
841,759.0
842,783.0
843,815.0
844,824.0
845,833.0
846,806.0
847,785.0
848,777.0
849,732.0
850,704.0
851,721.0
852,712.0
853,717.0
854,708.0
855,708.0
856,716.0
857,725.0
858,749.0
859,735.0
860,731.0
861,728.0
862,742.0
863,745.0
864,732.0
865,737.0
866,699.0
867,704.0
868,687.0
869,684.0
870,706.0
871,707.0
872,716.0
873,723.0
874,714.0
875,704.0
876,702.0
877,710.0
878,682.0
879,680.0
880,675.0
881,663.0
882,667.0
883,670.0
884,668.0
885,708.0
886,708.0
887,713.0
888,728.0
889,737.0
890,721.0
891,711.0
892,697.0
893,689.0
894,689.0
895,701.0
896,718.0
897,745.0
898,736.0
899,724.0
900,717.0
901,696.0
902,685.0
903,651.0
904,646.0
905,637.0
906,675.0
907,715.0
908,720.0
909,700.0
910,691.0
911,637.0
912,633.0
913,628.0
914,642.0
915,651.0
916,654.0
917,662.0
918,662.0
919,675.0
920,667.0
921,660.0
922,689.0
923,705.0
924,724.0
925,715.0
926,724.0
927,740.0
928,754.0
929,746.0
930,732.0
931,709.0
932,697.0
933,686.0
934,726.0
935,782.0
936,791.0
937,812.0
938,815.0
939,813.0
940,766.0
941,758.0
942,745.0
943,766.0
944,764.0
945,783.0
946,810.0
947,788.0
948,783.0
949,785.0
950,773.0
951,742.0
952,750.0
953,743.0
954,748.0
955,736.0
956,732.0
957,682.0
958,678.0
959,697.0
960,715.0
961,738.0
962,769.0
963,770.0
964,780.0
965,777.0
966,782.0
967,751.0
968,739.0
969,729.0
970,730.0
971,741.0
972,742.0
973,762.0
974,751.0
975,756.0
976,757.0
977,778.0
978,769.0
979,760.0
980,741.0
981,722.0
982,743.0
983,762.0
984,787.0
985,759.0
986,770.0
987,749.0
988,733.0
989,740.0
990,761.0
991,752.0
992,767.0
993,779.0
994,752.0
995,748.0
996,738.0
997,723.0
998,713.0
999,702.0
