,Data
734,-0.154
735,-0.131
736,-0.093
737,-0.044
738,0.015
739,0.077
740,0.14
741,0.198
742,0.246
743,0.281
744,0.299
745,0.299
746,0.278
747,0.238
748,0.178
749,0.101
750,0.011
751,-0.085
752,-0.181
753,-0.268
754,-0.34
755,-0.388
756,-0.408
757,-0.396
758,-0.352
759,-0.281
760,-0.19
761,-0.09
762,0.009
763,0.095
764,0.159
765,0.195
766,0.201
767,0.177
768,0.128
769,0.063
770,-0.007
771,-0.073
772,-0.122
773,-0.146
774,-0.142
775,-0.109
776,-0.05
777,0.027
778,0.113
779,0.196
780,0.266
781,0.314
782,0.334
783,0.326
784,0.291
785,0.233
786,0.161
787,0.082
788,0.006
789,-0.059
790,-0.109
791,-0.139
792,-0.152
793,-0.149
794,-0.134
795,-0.113
796,-0.091
797,-0.074
798,-0.064
799,-0.065
800,-0.075
801,-0.094
802,-0.118
803,-0.143
804,-0.166
805,-0.181
806,-0.186
807,-0.178
808,-0.158
809,-0.125
810,-0.082
811,-0.031
812,0.025
813,0.083
814,0.138
815,0.186
816,0.223
817,0.246
818,0.252
819,0.242
820,0.216
821,0.177
822,0.128
823,0.075
824,0.021
825,-0.03
826,-0.072
827,-0.103
828,-0.119
829,-0.119
830,-0.105
831,-0.078
832,-0.043
833,-0.006
834,0.028
835,0.054
836,0.068
837,0.068
838,0.054
839,0.029
840,-0.005
841,-0.042
842,-0.079
843,-0.11
844,-0.131
845,-0.139
846,-0.131
847,-0.108
848,-0.072
849,-0.027
850,0.021
851,0.066
852,0.103
853,0.127
854,0.135
855,0.127
856,0.105
857,0.072
858,0.033
859,-0.006
860,-0.041
861,-0.068
862,-0.086
863,-0.093
864,-0.09
865,-0.078
866,-0.061
867,-0.041
868,-0.023
869,-0.009
870,-0.001
871,-0.001
872,-0.007
873,-0.017
874,-0.029
875,-0.039
876,-0.043
877,-0.039
878,-0.024
879,0.002
880,0.037
881,0.079
882,0.122
883,0.164
884,0.2
885,0.224
886,0.234
887,0.229
888,0.206
889,0.167
890,0.112
891,0.046
892,-0.027
893,-0.1
894,-0.167
895,-0.222
896,-0.261
897,-0.28
898,-0.279
899,-0.26
900,-0.226
901,-0.182
902,-0.131
903,-0.077
904,-0.024
905,0.024
906,0.064
907,0.094
908,0.112
909,0.118
910,0.115
911,0.104
912,0.089
913,0.073
914,0.058
915,0.044
916,0.034
917,0.026
918,0.021
919,0.017
920,0.015
921,0.013
922,0.01
923,0.005
924,-0.003
925,-0.016
926,-0.033
927,-0.052
928,-0.068
929,-0.078
930,-0.079
931,-0.069
932,-0.049
933,-0.02
934,0.014
935,0.049
936,0.082
937,0.109
938,0.127
939,0.136
940,0.135
941,0.124
942,0.104
943,0.08
944,0.052
945,0.024
946,-0.001
947,-0.023
948,-0.041
949,-0.055
950,-0.068
951,-0.079
952,-0.089
953,-0.097
954,-0.104
955,-0.108
956,-0.107
957,-0.103
958,-0.094
959,-0.081
960,-0.065
961,-0.048
962,-0.03
963,-0.013
964,0.001
965,0.011
966,0.017
967,0.018
968,0.015
969,0.01
970,0.005
971,0.002
972,0.003
973,0.008
974,0.019
975,0.036
976,0.056
977,0.079
978,0.101
979,0.118
980,0.128
981,0.129
982,0.118
983,0.097
984,0.067
985,0.032
986,-0.004
987,-0.037
988,-0.066
989,-0.089
990,-0.105
991,-0.115
992,-0.118
993,-0.116
994,-0.109
995,-0.098
996,-0.083
997,-0.065
998,-0.042
999,-0.015
1000,0.017
1001,0.054
1002,0.094
1003,0.135
1004,0.173
1005,0.205
1006,0.227
1007,0.234
1008,0.224
1009,0.195
1010,0.146
1011,0.08
1012,0.001
1013,-0.087
1014,-0.174
1015,-0.252
1016,-0.312
1017,-0.347
1018,-0.352
1019,-0.324
1020,-0.267
1021,-0.187
1022,-0.092
1023,0.005
1024,0.094
1025,0.163
1026,0.207
1027,0.221
1028,0.206
1029,0.166
1030,0.109
1031,0.041
1032,-0.029
1033,-0.092
1034,-0.143
1035,-0.177
1036,-0.19
1037,-0.182
1038,-0.152
1039,-0.104
1040,-0.042
1041,0.03
1042,0.103
1043,0.173
1044,0.232
1045,0.277
1046,0.305
1047,0.314
1048,0.306
1049,0.281
1050,0.243
1051,0.195
1052,0.139
1053,0.077
1054,0.012
1055,-0.054
1056,-0.119
